epoch,loss,lr,mse,val_loss,val_mse
0,0.5454098582267761,0.003,0.5454098582267761,0.40817898511886597,0.40817898511886597
1,0.429952472448349,0.003,0.429952472448349,0.43453100323677063,0.43453100323677063
2,0.4194681644439697,0.003,0.4194681644439697,0.45091238617897034,0.45091238617897034
3,0.415728360414505,0.003,0.415728360414505,0.4391756057739258,0.4391756057739258
4,0.4123218357563019,0.003,0.4123218357563019,0.4326612651348114,0.4326612651348114
5,0.4105585515499115,0.003,0.4105585515499115,0.4189954400062561,0.4189954400062561
6,0.40909624099731445,0.003,0.40909624099731445,0.3934859335422516,0.3934859335422516
7,0.40803956985473633,0.003,0.40803956985473633,0.410315603017807,0.410315603017807
8,0.40181705355644226,0.001,0.40181705355644226,0.4106675386428833,0.4106675386428833
9,0.4007994532585144,0.001,0.4007994532585144,0.43044281005859375,0.43044281005859375
10,0.40050122141838074,0.001,0.40050122141838074,0.39814311265945435,0.39814311265945435
11,0.3997843861579895,0.001,0.3997843861579895,0.4088311791419983,0.4088311791419983
12,0.3993198573589325,0.001,0.3993198573589325,0.4216987192630768,0.4216987192630768
13,0.39877083897590637,0.001,0.39877083897590637,0.4130760729312897,0.4130760729312897
14,0.39957815408706665,0.001,0.39957815408706665,0.40513837337493896,0.40513837337493896
