epoch,loss,lr,mse,val_loss,val_mse
0,0.2880546748638153,0.003,0.2880546748638153,0.25459516048431396,0.25459516048431396
1,0.25998982787132263,0.003,0.25998982787132263,0.24736130237579346,0.24736130237579346
2,0.25392085313796997,0.003,0.25392085313796997,0.24234487116336823,0.24234487116336823
3,0.25084397196769714,0.003,0.25084397196769714,0.24267970025539398,0.24267970025539398
4,0.24893297255039215,0.003,0.24893297255039215,0.24253535270690918,0.24253535270690918
5,0.2473784238100052,0.003,0.2473784238100052,0.23875488340854645,0.23875488340854645
6,0.24637150764465332,0.003,0.24637150764465332,0.2386055290699005,0.2386055290699005
7,0.24577704071998596,0.003,0.24577704071998596,0.23663748800754547,0.23663748800754547
8,0.24026472866535187,0.001,0.24026472866535187,0.2324640154838562,0.2324640154838562
9,0.2396063506603241,0.001,0.2396063506603241,0.23294170200824738,0.23294170200824738
10,0.23906801640987396,0.001,0.23906801640987396,0.23550458252429962,0.23550458252429962
11,0.23922428488731384,0.001,0.23922428488731384,0.2356736660003662,0.2356736660003662
12,0.2388239949941635,0.001,0.2388239949941635,0.23278553783893585,0.23278553783893585
13,0.23777587711811066,0.0007,0.23777587711811066,0.23151040077209473,0.23151040077209473
14,0.23774072527885437,0.0007,0.23774072527885437,0.23243847489356995,0.23243847489356995
15,0.23746651411056519,0.0007,0.23746651411056519,0.2345963418483734,0.2345963418483734
16,0.23745688796043396,0.0007,0.23745688796043396,0.23019374907016754,0.23019374907016754
17,0.23754757642745972,0.0007,0.23754757642745972,0.23045475780963898,0.23045475780963898
18,0.23716838657855988,0.0007,0.23716838657855988,0.23181556165218353,0.23181556165218353
19,0.2373047173023224,0.0007,0.2373047173023224,0.24572846293449402,0.24572846293449402
20,0.2368413805961609,0.0007,0.2368413805961609,0.23274260759353638,0.23274260759353638
21,0.23666083812713623,0.0005,0.23666083812713623,0.22887533903121948,0.22887533903121948
22,0.23615750670433044,0.0005,0.23615750670433044,0.2283201664686203,0.2283201664686203
23,0.236357644200325,0.0005,0.236357644200325,0.23128162324428558,0.23128162324428558
24,0.23585790395736694,0.0005,0.23585790395736694,0.2291949838399887,0.2291949838399887
25,0.2358933687210083,0.0005,0.2358933687210083,0.2675481140613556,0.2675481140613556
26,0.2360207438468933,0.0005,0.2360207438468933,0.22885240614414215,0.22885240614414215
27,0.23569010198116302,0.0005,0.23569010198116302,0.22886762022972107,0.22886762022972107
28,0.2357281595468521,0.0005,0.2357281595468521,0.23025624454021454,0.23025624454021454
29,0.2359522581100464,0.0005,0.2359522581100464,0.2288564145565033,0.2288564145565033
30,0.23577138781547546,0.0005,0.23577138781547546,0.22988249361515045,0.22988249361515045
31,0.23589664697647095,0.0005,0.23589664697647095,0.23141808807849884,0.23141808807849884
32,0.23530931770801544,0.0005,0.23530931770801544,0.228094220161438,0.228094220161438
33,0.23540733754634857,0.0005,0.23540733754634857,0.22855643928050995,0.22855643928050995
34,0.23554563522338867,0.0005,0.23554563522338867,0.22877389192581177,0.22877389192581177
35,0.23561246693134308,0.0005,0.23561246693134308,0.2340421825647354,0.2340421825647354
36,0.23564156889915466,0.0005,0.23564156889915466,0.22855931520462036,0.22855931520462036
37,0.23553843796253204,0.0005,0.23553843796253204,0.2291230708360672,0.2291230708360672
38,0.2354421466588974,0.0005,0.2354421466588974,0.22890858352184296,0.22890858352184296
39,0.23549875617027283,0.0005,0.23549875617027283,0.2282390147447586,0.2282390147447586
