epoch,loss,lr,mse,val_loss,val_mse
0,0.31385499238967896,0.001,0.31385499238967896,0.2653041481971741,0.2653041481971741
1,0.2638634443283081,0.001,0.2638634443283081,0.2523174285888672,0.2523174285888672
2,0.25631603598594666,0.001,0.25631603598594666,0.2477349042892456,0.2477349042892456
3,0.25298845767974854,0.001,0.25298845767974854,0.24091143906116486,0.24091143906116486
4,0.2507597804069519,0.001,0.2507597804069519,0.24578377604484558,0.24578377604484558
5,0.2489680051803589,0.001,0.2489680051803589,0.23979537189006805,0.23979537189006805
6,0.2474512755870819,0.001,0.2474512755870819,0.2399863451719284,0.2399863451719284
7,0.24630750715732574,0.001,0.24630750715732574,0.23573343455791473,0.23573343455791473
8,0.2456919252872467,0.001,0.2456919252872467,0.23851895332336426,0.23851895332336426
9,0.2452286183834076,0.001,0.2452286183834076,0.23700369894504547,0.23700369894504547
10,0.24388468265533447,0.001,0.24388468265533447,0.23704995214939117,0.23704995214939117
11,0.2441018521785736,0.001,0.2441018521785736,0.23536492884159088,0.23536492884159088
12,0.24352797865867615,0.001,0.24352797865867615,0.2338191419839859,0.2338191419839859
13,0.24318721890449524,0.001,0.24318721890449524,0.235143780708313,0.235143780708313
14,0.23972739279270172,0.0005,0.23972739279270172,0.23589099943637848,0.23589099943637848
15,0.2395431101322174,0.0005,0.2395431101322174,0.2311887890100479,0.2311887890100479
16,0.239615336060524,0.0005,0.239615336060524,0.23101834952831268,0.23101834952831268
17,0.2391972541809082,0.0005,0.2391972541809082,0.23596684634685516,0.23596684634685516
18,0.23896029591560364,0.0005,0.23896029591560364,0.230476975440979,0.230476975440979
19,0.2390187680721283,0.0005,0.2390187680721283,0.2348962277173996,0.2348962277173996
20,0.23904332518577576,0.0005,0.23904332518577576,0.23167771100997925,0.23167771100997925
21,0.23849627375602722,0.0005,0.23849627375602722,0.23121261596679688,0.23121261596679688
22,0.23857761919498444,0.0005,0.23857761919498444,0.23108147084712982,0.23108147084712982
23,0.2382933497428894,0.0005,0.2382933497428894,0.23061105608940125,0.23061105608940125
24,0.23611262440681458,5e-05,0.23611262440681458,0.22861093282699585,0.22861093282699585
25,0.23590239882469177,5e-05,0.23590239882469177,0.22925978899002075,0.22925978899002075
26,0.23588579893112183,5e-05,0.23588579893112183,0.22893919050693512,0.22893919050693512
27,0.23579581081867218,5e-05,0.23579581081867218,0.22858723998069763,0.22858723998069763
28,0.2358456552028656,5e-05,0.2358456552028656,0.2285654991865158,0.2285654991865158
29,0.2355586141347885,5e-05,0.2355586141347885,0.2284221053123474,0.2284221053123474
30,0.23570582270622253,5e-05,0.23570582270622253,0.22866947948932648,0.22866947948932648
31,0.23575866222381592,5e-05,0.23575866222381592,0.22851765155792236,0.22851765155792236
32,0.23552818596363068,5e-05,0.23552818596363068,0.2282240241765976,0.2282240241765976
33,0.2360299676656723,5e-05,0.2360299676656723,0.22911369800567627,0.22911369800567627
34,0.23578131198883057,5e-05,0.23578131198883057,0.22858363389968872,0.22858363389968872
35,0.23543766140937805,5e-05,0.23543766140937805,0.22881384193897247,0.22881384193897247
36,0.23526260256767273,5e-05,0.23526260256767273,0.2284756302833557,0.2284756302833557
37,0.23553209006786346,5e-05,0.23553209006786346,0.22953592240810394,0.22953592240810394
38,0.23532919585704803,5e-05,0.23532919585704803,0.229613795876503,0.229613795876503
39,0.23532573878765106,5e-05,0.23532573878765106,0.22927668690681458,0.22927668690681458
40,0.23548366129398346,5e-05,0.23548366129398346,0.2285495400428772,0.2285495400428772
41,0.2356596738100052,5e-05,0.2356596738100052,0.23217418789863586,0.23217418789863586
42,0.23542052507400513,5e-05,0.23542052507400513,0.22918835282325745,0.22918835282325745
43,0.23516730964183807,5e-05,0.23516730964183807,0.22979320585727692,0.22979320585727692
44,0.23532792925834656,5e-05,0.23532792925834656,0.2296549379825592,0.2296549379825592
45,0.2355400174856186,5e-05,0.2355400174856186,0.22992157936096191,0.22992157936096191
46,0.2353871464729309,5e-05,0.2353871464729309,0.2286016196012497,0.2286016196012497
47,0.23545415699481964,5e-05,0.23545415699481964,0.22831116616725922,0.22831116616725922
48,0.23514755070209503,5e-05,0.23514755070209503,0.22887974977493286,0.22887974977493286
49,0.23536540567874908,5e-05,0.23536540567874908,0.22839975357055664,0.22839975357055664
